Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,,,,2023-01-26 13:48:40,2023-01-26 13:50:28,1m - 48.439s,PASSED
,,,,,,,
Test Cases/TC002 - Checkout/C001 - Checkout (Positive),,,,2023-01-26 13:48:40,2023-01-26 13:49:36,56.261s,PASSED
"startApplication(""C:\Users\Muhifa\Downloads\Android-MyDemoAppRN.1.2.0.build-231.apk"", true)",,,,2023-01-26 13:48:40,2023-01-26 13:48:58,17.756s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Sauce Labs Backpack""), 0)",,,,2023-01-26 13:48:58,2023-01-26 13:49:00,1.273s,PASSED
"scrollToText(""Add To Cart"")",,,,2023-01-26 13:49:00,2023-01-26 13:49:04,4.319s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Add To Cart""), 0)",,,,2023-01-26 13:49:04,2023-01-26 13:49:04,0.559s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.ImageView""), 0)",,,,2023-01-26 13:49:04,2023-01-26 13:49:05,0.866s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Proceed To Checkout""), 0)",,,,2023-01-26 13:49:05,2023-01-26 13:49:06,0.888s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText""), ""bob@example.com"", 0)",,,,2023-01-26 13:49:06,2023-01-26 13:49:08,1.717s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Checkout/android.widget.EditText (1)""), ""dbXIBZ66cuht4KTRMDozZw=="", 0)",,,,2023-01-26 13:49:08,2023-01-26 13:49:09,1.204s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Login""), 0)",,,,2023-01-26 13:49:09,2023-01-26 13:49:10,0.739s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Rebecca Winter""), ""M iqbal"", 0)",,,,2023-01-26 13:49:10,2023-01-26 13:49:12,2.479s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Mandorley 112""), ""telukjambe timur"", 0)",,,,2023-01-26 13:49:12,2023-01-26 13:49:14,1.637s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Entrance 1""), ""puseurjaya"", 0)",,,,2023-01-26 13:49:14,2023-01-26 13:49:16,1.651s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Truro""), ""karawang"", 0)",,,,2023-01-26 13:49:16,2023-01-26 13:49:17,1.632s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Cornwall""), ""jawa barat"", 0)",,,,2023-01-26 13:49:17,2023-01-26 13:49:19,1.627s,PASSED
"scrollToText(""Country"")",,,,2023-01-26 13:49:19,2023-01-26 13:49:22,3.345s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - 89750""), ""41361"", 0)",,,,2023-01-26 13:49:22,2023-01-26 13:49:24,1.545s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - United Kingdom""), ""Indonesia"", 0)",,,,2023-01-26 13:49:24,2023-01-26 13:49:25,1.631s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - To Payment""), 0)",,,,2023-01-26 13:49:25,2023-01-26 13:49:26,0.654s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - Rebecca Winter (1)""), ""Rebecca Winter"", 0)",,,,2023-01-26 13:49:26,2023-01-26 13:49:28,2.472s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - 3258 1265 7568 789""), ""325812657568789"", 0)",,,,2023-01-26 13:49:28,2023-01-26 13:49:30,1.616s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - 0325""), ""03/25"", 0)",,,,2023-01-26 13:49:30,2023-01-26 13:49:31,1.181s,PASSED
"setText(findTestObject(""Object Repository/Checkout/android.widget.EditText - 123""), ""123"", 0)",,,,2023-01-26 13:49:31,2023-01-26 13:49:33,1.620s,PASSED
"tap(findTestObject(""Object Repository/Checkout/android.widget.TextView - Review Order""), 0)",,,,2023-01-26 13:49:33,2023-01-26 13:49:34,0.626s,PASSED
